epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.36356,3.89949,0.06166,0.26007,3.59717,0.000110112,0.000110112,0.000110112
2,9.58486,3.47815,0.13376,0.40875,3.11316,0.000216694,0.000216694,0.000216694
3,13.8029,3.20233,0.19493,0.52263,2.88843,0.000318841,0.000318841,0.000318841
4,18.0929,3.01795,0.28195,0.61363,2.57361,0.00031304,0.00031304,0.00031304
5,22.3175,2.78233,0.34759,0.64893,2.35571,0.000306387,0.000306387,0.000306387
6,26.5425,2.58938,0.42665,0.69617,2.01514,0.000299733,0.000299733,0.000299733
7,31.1298,2.45274,0.48633,0.71109,1.91321,0.00029308,0.00029308,0.00029308
8,35.4435,2.34174,0.50721,0.73297,1.75385,0.000286427,0.000286427,0.000286427
9,39.6269,2.2433,0.52611,0.74888,1.67773,0.000279773,0.000279773,0.000279773
10,43.9548,2.16627,0.57185,0.76579,1.56927,0.00027312,0.00027312,0.00027312
11,48.3007,2.10134,0.57782,0.76032,1.55017,0.000266467,0.000266467,0.000266467
12,52.5074,2.0549,0.59075,0.77524,1.48853,0.000259813,0.000259813,0.000259813
13,56.8947,2.01498,0.62059,0.79264,1.41571,0.00025316,0.00025316,0.00025316
14,61.2702,1.95335,0.60865,0.80607,1.42065,0.000246507,0.000246507,0.000246507
15,65.4372,1.92217,0.60517,0.80209,1.41772,0.000239853,0.000239853,0.000239853
16,69.7321,1.90484,0.62805,0.81054,1.36835,0.0002332,0.0002332,0.0002332
17,74.1911,1.87213,0.64843,0.81353,1.32825,0.000226547,0.000226547,0.000226547
18,78.5003,1.79899,0.63948,0.81502,1.3186,0.000219893,0.000219893,0.000219893
19,82.8463,1.82582,0.63202,0.82049,1.34869,0.00021324,0.00021324,0.00021324
20,87.2675,1.79962,0.64346,0.82297,1.30219,0.000206587,0.000206587,0.000206587
21,91.4063,1.75401,0.65937,0.83043,1.25473,0.000199933,0.000199933,0.000199933
22,95.6189,1.75963,0.66285,0.83391,1.23145,0.00019328,0.00019328,0.00019328
23,99.9018,1.71811,0.66484,0.83192,1.22882,0.000186627,0.000186627,0.000186627
24,104.246,1.69691,0.66186,0.83938,1.22021,0.000179973,0.000179973,0.000179973
25,108.586,1.69169,0.67479,0.83541,1.20541,0.00017332,0.00017332,0.00017332
26,113.148,1.68655,0.66037,0.83292,1.21222,0.000166667,0.000166667,0.000166667
27,117.401,1.65766,0.65291,0.83491,1.2197,0.000160013,0.000160013,0.000160013
28,121.688,1.64455,0.66832,0.83789,1.1893,0.00015336,0.00015336,0.00015336
29,126.085,1.63265,0.67926,0.84088,1.16199,0.000146706,0.000146706,0.000146706
30,130.367,1.60465,0.68274,0.84833,1.16183,0.000140053,0.000140053,0.000140053
31,134.688,1.62363,0.67181,0.84933,1.15228,0.0001334,0.0001334,0.0001334
32,139.185,1.57384,0.68026,0.85032,1.15045,0.000126746,0.000126746,0.000126746
33,143.464,1.5653,0.68971,0.84784,1.13577,0.000120093,0.000120093,0.000120093
34,147.535,1.54747,0.69567,0.85629,1.12497,0.00011344,0.00011344,0.00011344
35,151.863,1.57198,0.68821,0.85182,1.11453,0.000106786,0.000106786,0.000106786
36,156.161,1.53533,0.70114,0.85281,1.09656,0.000100133,0.000100133,0.000100133
37,160.489,1.51876,0.70114,0.85579,1.09641,9.34798e-05,9.34798e-05,9.34798e-05
38,164.962,1.51697,0.70512,0.85331,1.09244,8.68264e-05,8.68264e-05,8.68264e-05
39,169.367,1.49351,0.69915,0.85032,1.09302,8.01731e-05,8.01731e-05,8.01731e-05
40,173.53,1.4974,0.70512,0.85579,1.07501,7.35197e-05,7.35197e-05,7.35197e-05
41,208.283,1.50616,0.70164,0.85579,1.08524,6.68664e-05,6.68664e-05,6.68664e-05
42,212.734,1.48159,0.70015,0.85331,1.08093,6.02131e-05,6.02131e-05,6.02131e-05
43,217.152,1.4855,0.70264,0.8548,1.07468,5.35597e-05,5.35597e-05,5.35597e-05
44,221.939,1.459,0.69717,0.8538,1.0881,4.69064e-05,4.69064e-05,4.69064e-05
45,226.346,1.47421,0.7086,0.85331,1.0752,4.0253e-05,4.0253e-05,4.0253e-05
46,230.576,1.44576,0.71457,0.85679,1.07614,3.35997e-05,3.35997e-05,3.35997e-05
47,234.969,1.4349,0.71009,0.8553,1.07104,2.69464e-05,2.69464e-05,2.69464e-05
48,239.269,1.43132,0.71059,0.85629,1.0603,2.0293e-05,2.0293e-05,2.0293e-05
49,243.536,1.43019,0.71159,0.85828,1.05695,1.36397e-05,1.36397e-05,1.36397e-05
50,248.008,1.42261,0.71159,0.85728,1.0535,6.98634e-06,6.98634e-06,6.98634e-06
