epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,167.1,3.57844,0.5055,0.82138,1.81408,0.003328,0.003328,0.003328
2,335.02,1.82482,0.55638,0.84925,1.60694,0.00662836,0.00662836,0.00662836
3,501.004,1.79461,0.49837,0.8045,1.91141,0.00989572,0.00989572,0.00989572
4,667.827,1.78088,0.58012,0.86525,1.4822,0.0098515,0.0098515,0.0098515
5,835.173,1.5806,0.66137,0.91225,1.16849,0.009802,0.009802,0.009802
6,1000.67,1.46236,0.67212,0.91675,1.12111,0.0097525,0.0097525,0.0097525
7,1168.7,1.38273,0.68725,0.91913,1.08855,0.009703,0.009703,0.009703
8,1336.47,1.31518,0.69025,0.92225,1.07714,0.0096535,0.0096535,0.0096535
9,1504.57,1.25463,0.70562,0.93275,0.99322,0.009604,0.009604,0.009604
10,1671.28,1.21525,0.72588,0.94075,0.9209,0.0095545,0.0095545,0.0095545
11,1837.24,1.17159,0.74638,0.945,0.87928,0.009505,0.009505,0.009505
12,2005.77,1.15452,0.74663,0.94587,0.8664,0.0094555,0.0094555,0.0094555
13,2172.17,1.13112,0.76538,0.95412,0.80296,0.009406,0.009406,0.009406
14,2338.55,1.11041,0.76825,0.95587,0.78595,0.0093565,0.0093565,0.0093565
15,2503.49,1.09004,0.77138,0.95737,0.77125,0.009307,0.009307,0.009307
16,2668,1.07452,0.77987,0.95725,0.75499,0.0092575,0.0092575,0.0092575
17,2833.74,1.0417,0.781,0.95888,0.73423,0.009208,0.009208,0.009208
18,2998.17,1.03874,0.79,0.95938,0.72515,0.0091585,0.0091585,0.0091585
19,3163.39,1.02439,0.78737,0.9595,0.71717,0.009109,0.009109,0.009109
20,3327.44,1.01562,0.79212,0.96312,0.70746,0.0090595,0.0090595,0.0090595
21,3492.64,0.99067,0.79688,0.96288,0.69843,0.00901,0.00901,0.00901
