epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.1151,1.5654,0.71323,0.97491,0.84685,0.00331197,0.00331197,0.00331197
2,36.7328,0.90704,0.5935,0.93387,1.27016,0.0066124,0.0066124,0.0066124
3,54.5505,0.94807,0.55017,0.93672,1.54415,0.00987984,0.00987984,0.00987984
4,72.0832,1.21612,0.59179,0.9561,1.20696,0.0098515,0.0098515,0.0098515
5,89.8681,1.08075,0.66876,0.96921,1.01388,0.009802,0.009802,0.009802
6,107.402,0.93499,0.74515,0.98461,0.7658,0.0097525,0.0097525,0.0097525
7,125.298,0.85519,0.77423,0.99088,0.67906,0.009703,0.009703,0.009703
8,143.048,0.77275,0.76796,0.9886,0.68984,0.0096535,0.0096535,0.0096535
9,160.55,0.74731,0.79532,0.99259,0.61285,0.009604,0.009604,0.009604
10,178.174,0.72332,0.76967,0.98974,0.68527,0.0095545,0.0095545,0.0095545
11,195.484,0.69244,0.80559,0.99031,0.62036,0.009505,0.009505,0.009505
12,213.012,0.69594,0.80331,0.99088,0.59457,0.0094555,0.0094555,0.0094555
13,230.58,0.66769,0.77252,0.98347,0.71272,0.009406,0.009406,0.009406
14,248.116,0.65816,0.76226,0.98404,0.71847,0.0093565,0.0093565,0.0093565
15,265.855,0.6559,0.7862,0.99031,0.65229,0.009307,0.009307,0.009307
16,284.005,0.62761,0.78278,0.98917,0.66087,0.0092575,0.0092575,0.0092575
17,302.039,0.6125,0.78905,0.99088,0.60829,0.009208,0.009208,0.009208
18,319.291,0.61153,0.80787,0.99202,0.58834,0.0091585,0.0091585,0.0091585
19,336.815,0.60112,0.80616,0.99202,0.58128,0.009109,0.009109,0.009109
20,354.289,0.56702,0.78221,0.98689,0.6939,0.0090595,0.0090595,0.0090595
21,371.699,0.5703,0.78734,0.99373,0.61422,0.00901,0.00901,0.00901
22,389.085,0.58684,0.82212,0.99316,0.5735,0.0089605,0.0089605,0.0089605
23,406.629,0.55343,0.81813,0.99373,0.56902,0.008911,0.008911,0.008911
24,424.203,0.5409,0.81129,0.99544,0.59912,0.0088615,0.0088615,0.0088615
25,441.695,0.55535,0.80274,0.99088,0.59603,0.008812,0.008812,0.008812
26,459.305,0.54307,0.82326,0.99601,0.54171,0.0087625,0.0087625,0.0087625
27,477.331,0.54753,0.8244,0.99544,0.54253,0.008713,0.008713,0.008713
28,495.151,0.53241,0.81471,0.99373,0.54246,0.0086635,0.0086635,0.0086635
29,512.944,0.52279,0.82326,0.99202,0.54325,0.008614,0.008614,0.008614
30,530.407,0.52183,0.81471,0.99259,0.54487,0.0085645,0.0085645,0.0085645
31,548.223,0.51113,0.81471,0.99373,0.57783,0.008515,0.008515,0.008515
32,565.786,0.50759,0.82611,0.99316,0.53706,0.0084655,0.0084655,0.0084655
33,583.545,0.50842,0.80958,0.99202,0.60057,0.008416,0.008416,0.008416
34,601.479,0.5045,0.81585,0.99544,0.55655,0.0083665,0.0083665,0.0083665
35,619.433,0.49528,0.82098,0.98974,0.57799,0.008317,0.008317,0.008317
36,637.241,0.49964,0.82098,0.99544,0.54844,0.0082675,0.0082675,0.0082675
37,654.902,0.48527,0.81642,0.99316,0.56874,0.008218,0.008218,0.008218
38,672.477,0.48628,0.81243,0.99145,0.59167,0.0081685,0.0081685,0.0081685
39,690.096,0.47536,0.81585,0.99259,0.55474,0.008119,0.008119,0.008119
40,707.756,0.47838,0.82896,0.99145,0.54824,0.0080695,0.0080695,0.0080695
41,725.405,0.46681,0.82668,0.99202,0.5549,0.00802,0.00802,0.00802
42,743.134,0.49671,0.82554,0.9886,0.56927,0.0079705,0.0079705,0.0079705
43,760.978,0.47498,0.82668,0.99145,0.57073,0.007921,0.007921,0.007921
44,778.854,0.47005,0.83181,0.99373,0.52309,0.0078715,0.0078715,0.0078715
45,796.593,0.46101,0.82497,0.99316,0.55539,0.007822,0.007822,0.007822
46,814.522,0.45834,0.83808,0.99316,0.527,0.0077725,0.0077725,0.0077725
47,832.422,0.45774,0.83523,0.99316,0.53169,0.007723,0.007723,0.007723
48,850.401,0.4606,0.8301,0.99373,0.54818,0.0076735,0.0076735,0.0076735
49,868.083,0.44637,0.84093,0.99487,0.51828,0.007624,0.007624,0.007624
50,885.807,0.46242,0.82668,0.99487,0.53144,0.0075745,0.0075745,0.0075745
51,903.687,0.44884,0.8358,0.99544,0.51339,0.007525,0.007525,0.007525
52,921.382,0.45055,0.84036,0.99544,0.5308,0.0074755,0.0074755,0.0074755
53,938.913,0.44692,0.82782,0.99487,0.55715,0.007426,0.007426,0.007426
54,956.526,0.4351,0.83865,0.99658,0.52773,0.0073765,0.0073765,0.0073765
55,974.228,0.44076,0.84436,0.99487,0.535,0.007327,0.007327,0.007327
56,991.927,0.44061,0.83808,0.99487,0.54004,0.0072775,0.0072775,0.0072775
